아티스트명,국적,활동장르,데뷔,멤버,성별,구성
소녀시대 (GIRLS' GENERATION),대한민국,"댄스, 발라드, 일렉트로니카",2007.08.05,"태연 (TAEYEON) , 써니 (SUNNY) , 유리 (YURI) , 수영 (SOOYOUNG) , Tiffany Young , 서현 (SEOHYUN) , 윤아 (YOONA) , 효연 (HYOYEON)",여성,그룹
태양,대한민국,"R&B/Soul, 댄스, 발라드",2008.05.22,,남성,솔로
마미손,대한민국,"랩/힙합, 발라드, 댄스",2018.11.10,,남성,솔로
주시크 (Joosiq),대한민국,"R&B/Soul, 인디음악, 랩/힙합",2020.07.15,,남성,솔로
WSG워너비 (가야G),대한민국,발라드,2022.07.09,"이보람 (씨야) , 정소연 (Jung Soyeon) , HYNN (박혜원) , 정지소",여성,그룹
신용재 (2F),대한민국,"발라드, 국내드라마, R&B/Soul",2012.07.27,,남성,솔로
NCT 도재정,대한민국,"R&B/Soul, 일렉트로니카, 발라드",2023.04.17,"도영 (DOYOUNG) , 재현 (JAEHYUN) , 정우 (JUNGWOO)",남성,그룹
던 (DAWN),대한민국,"R&B/Soul, 발라드, 랩/힙합",2019.11.05,,남성,솔로
라비 (RAVI),대한민국,"랩/힙합, 발라드, 댄스",2017.01.09,,남성,솔로
선예,대한민국,"발라드, 국내드라마, CCM",2007.07,,여성,솔로
PATEKO (파테코),대한민국,"인디음악, 랩/힙합, 록/메탈",2020.07.19,,남성,솔로
순순희(기태),대한민국,"발라드, 인디음악, 국내드라마",2023.01.23,,남성,솔로
청하,대한민국,"댄스, 발라드, 국내드라마",2017.04.21,,여성,솔로
이석훈,대한민국,"발라드, 국내드라마, 댄스",2010.04.22,,남성,솔로
케이시 (Kassy),대한민국,"발라드, 국내드라마, R&B/Soul",2015.08.25,,여성,솔로
Say Yes!,"대한민국,캐나다",댄스,2023.04.06,,남성,그룹
조광일,대한민국,"랩/힙합, 국내드라마, 인디음악",2019.10.29,,남성,솔로
보라미유,대한민국,"발라드, 인디음악, 국내드라마",2018.11.21,,여성,솔로
베이식 (Basick),대한민국,"랩/힙합, 인디음악, 국내드라마",2008.03.18,,남성,솔로
장혜진,대한민국,"발라드, 국내드라마, 댄스",1991.09.01,,여성,솔로
찬열 (CHANYEOL),대한민국,"발라드, 록/메탈, 국내영화",2024.08.28,,남성,솔로
강민경 (다비치),대한민국,"발라드, 국내드라마, 댄스",2012.08,,여성,솔로
SHINee (샤이니),대한민국,"댄스, 발라드, R&B/Soul",2008.05.25,"종현 (JONGHYUN) , 키 (KEY) , 태민 (TAEMIN) , 온유 (ONEW) , 민호 (MINHO)",남성,그룹
블루 (BLOO),대한민국,"랩/힙합, 인디음악, 국내드라마",2016.06.18,,남성,솔로
ASH ISLAND,대한민국,"랩/힙합, R&B/Soul, 록/메탈",2018.11.12,,남성,솔로
시온,독일,"R&B/Soul, 발라드, 국내드라마",2022.07.23,,남성,솔로
유림,대한민국,발라드,2022.11.13,,여성,솔로
KCM,대한민국,"발라드, 국내드라마, 댄스",2004.09.07,,남성,솔로
Red Velvet (레드벨벳),대한민국,"댄스, R&B/Soul, 발라드",2014.08.01,"웬디 (WENDY) , 아이린 (IRENE) , 슬기 (SEULGI) , 조이 (JOY) , 예리 (YERI)",여성,그룹
환불원정대,대한민국,댄스,2020.10.10,"만옥 , 천옥 , 은비 , 실비",여성,그룹
HYNN (박혜원),대한민국,"발라드, 국내드라마, 록/메탈",2018.12.28,,여성,솔로
라붐 (LABOUM),대한민국,"댄스, 발라드, 국내드라마",2014.08.28,"솔빈 (LABOUM) , 정소연 (Jung Soyeon) , 진예 (LABOUM) , 해인 (LABOUM)",여성,그룹
BE'O (비오),대한민국,"랩/힙합, R&B/Soul, 댄스",2020.09.05,,남성,솔로
Yyeon,대한민국,"인디음악, R&B/Soul, 랩/힙합",2022.12.23,,남성,솔로
영탁,대한민국,"성인가요/트로트, 발라드, 국내드라마",2007.03.05,,남성,솔로
적재,대한민국,"록/메탈, 발라드, 국내드라마",2014.11.10,,남성,솔로
김대명,대한민국,"국내드라마, 발라드, 록/메탈",2018.02.13,,남성,솔로
Seori,대한민국,"R&B/Soul, 댄스, 국내드라마",2020.05.12,,여성,솔로
윤도 (YoonDo),대한민국,"발라드, R&B/Soul, 록/메탈",2019.11.13,,남성,솔로
BewhY (비와이),대한민국,"랩/힙합, 댄스, 발라드",2014.06.23,,남성,솔로
수퍼비 (SUPERBEE),대한민국,"랩/힙합, 인디음악, 국내드라마",2015.10.26,,남성,솔로
진,대한민국,"록/메탈, 발라드, 댄스",2022.10.28,,남성,솔로
ITZY (있지),대한민국,"댄스, 랩/힙합, POP",2019.02.12,"예지 (ITZY) , 리아 (ITZY) , 류진 (ITZY) , 채령 (ITZY) , 유나 (ITZY)",여성,그룹
나얼,대한민국,"R&B/Soul, 발라드, CCM",2005.01.08,,남성,솔로
테이,대한민국,"발라드, 국내드라마, 록/메탈",2004.01.05,,남성,솔로
유회승 (엔플라잉),대한민국,"발라드, 국내드라마, 록/메탈",2017.09.14,,남성,솔로
헤이즈 (Heize),대한민국,"R&B/Soul, 발라드, 국내드라마",2014.01.17,,여성,솔로
조현아 (어반자카파),대한민국,"발라드, 국내드라마, 랩/힙합",2009.02.27,,여성,솔로
마마무 (Mamamoo),대한민국,"댄스, 발라드, R&B/Soul",2014.06.19,"솔라 (마마무) , 문별 (마마무) , 휘인 (Whee In) , 화사 (HWASA)",여성,그룹
볼빨간사춘기,대한민국,"인디음악, 포크/블루스, 록/메탈",2016.04.22,안지영,여성,솔로
양다일,대한민국,"발라드, R&B/Soul, 국내드라마",2015.10.01,,남성,솔로
주주 시크릿,대한민국,"댄스, 발라드",2023.03.25,,여성,그룹
던말릭 (DON MALIK),대한민국,"랩/힙합, 인디음악",2014.11.11,,남성,솔로
Zior Park,대한민국,"록/메탈, 랩/힙합, 국내드라마",2018.04.03,,남성,솔로
이하이,대한민국,"R&B/Soul, 발라드, 댄스",2012.10.29,,여성,솔로
백아,대한민국,"인디음악, 포크/블루스, 발라드",2018.04.03,,여성,솔로
NCT 127,대한민국,"댄스, R&B/Soul, 랩/힙합",2016.07.07,"태용 (TAEYONG) , 재현 (JAEHYUN) , 윈윈 (WINWIN) , 해찬 (HAECHAN) , 유타 (YUTA) , 도영 (DOYOUNG) , 쟈니 (JOHNNY) , 정우 (JUNGWOO)",남성,그룹
화곡동 청개구리,대한민국,발라드,2024.06,,남성,솔로
하은 (포맨),대한민국,"발라드, 국내드라마, 록/메탈",2018.09.14,,남성,솔로
에이치코드 (H:CODE),대한민국,"발라드, 인디음악",2016.02.26,,남성,솔로
이우,대한민국,"발라드, 국내드라마, R&B/Soul",2018.10.27,,남성,솔로
식케이 (Sik-K),대한민국,"랩/힙합, R&B/Soul, 댄스",2015.08.07,,남성,솔로
권진아,대한민국,"발라드, 국내드라마, R&B/Soul",2016.09.19,,여성,솔로
NS 윤지,대한민국,"댄스, R&B/Soul, 발라드",2009.09,,여성,솔로
정준일,대한민국,"발라드, 인디음악, 록/메탈",2011.11.23,,남성,솔로
21학번,대한민국,"발라드, 인디음악, 국내드라마",2021.04.12,,여성,솔로
디핵 (D-Hack),대한민국,"랩/힙합, 인디음악, 록/메탈",2016.07.26,,남성,솔로
하현우 (국카스텐),대한민국,"록/메탈, 국내드라마, 발라드",2018.10.28,,남성,솔로
태일 (TAEIL),대한민국,"국내드라마, 발라드, 록/메탈",2016.01.27,,남성,솔로
안세하,대한민국,"발라드, 국내드라마",2019.12.03,,남성,솔로
노을,대한민국,"발라드, 국내드라마, R&B/Soul",2002.12.16,"이상곤 (노을) , 전우성 (노을) , 강균성 (노을) , 나성호 (노을)",남성,그룹
지민,대한민국,"댄스, R&B/Soul, 랩/힙합",2013.06,,남성,솔로
권순일 (어반자카파),대한민국,"발라드, 국내드라마, R&B/Soul",2009,,남성,솔로
에이프릴 (APRIL),대한민국,"댄스, 국내드라마, 발라드",2015.08.24,"윤채경 , 김채원 , 이나은 (에이프릴) , 양예나 (에이프릴) , 레이첼 (성나연) , 이진솔",여성,그룹
케이윌,대한민국,"발라드, 국내드라마, 댄스",2007.03.06,,남성,솔로
자우림,대한민국,"록/메탈, 발라드, 댄스",1997.11.01,"김윤아 , 이선규 , 김진만",혼성,그룹
RM,대한민국,"랩/힙합, R&B/Soul, 댄스",2018.10.23,,남성,솔로
WINNER,대한민국,"댄스, 발라드, 랩/힙합",2014.08.17,"강승윤 , JINU (김진우) , MINO (송민호) , 이승훈",남성,그룹
김승민,대한민국,"랩/힙합, R&B/Soul, 발라드",2018.06.08,,남성,솔로
MSG워너비,대한민국,"발라드, 댄스",2021.06.26,"별루지 , 김정수 , 강창모 , 정기석 , 이동휘 , 이상이 , 박재정 , 원슈타인",남성,그룹
리사 (LISA),일본,"J-POP, 애니메이션/웹툰, 월드뮤직",2011.04.20,,여성,솔로
장범준,대한민국,"록/메탈, 국내드라마, 포크/블루스",2014.08.19,,남성,솔로
Khundi Panda,대한민국,"랩/힙합, R&B/Soul, 록/메탈",2019.12.08,,남성,솔로
어반자카파,대한민국,"발라드, R&B/Soul, 국내드라마",2009.07.02,"조현아 (어반자카파) , 권순일 (어반자카파) , 박용인 (어반자카파)",혼성,그룹
나연 (TWICE),대한민국,"R&B/Soul, 댄스, 애니메이션/웹툰",2022.06.24,,여성,솔로
에일리(Ailee),대한민국,"발라드, 댄스, 국내드라마",2012.02.09,,여성,솔로
딘딘 (DINDIN),대한민국,"랩/힙합, 국내드라마, 발라드",2014.08.29,,남성,솔로
KOONTA (쿤타),대한민국,"랩/힙합, 인디음악, 국내드라마",2006.09.21,,남성,솔로
전소미,대한민국,"댄스, R&B/Soul, 발라드",2019.06.13,,여성,솔로
제이세라,대한민국,"발라드, 국내드라마, 댄스",2010.07.15,,여성,솔로
비룡,대한민국,댄스,2020.08.01,,남성,솔로
Paul Blanco,대한민국,"랩/힙합, R&B/Soul, 국내드라마",2018.10.27,,남성,솔로
DEAN,대한민국,"R&B/Soul, 댄스, 랩/힙합",2015.07.30,,남성,솔로
이홍기 (FT아일랜드),대한민국,"발라드, 국내드라마, 록/메탈",2009.1,,남성,솔로
토요태,대한민국,R&B/Soul,2021.12.18,"유재석 , 하하 , 미주 (MIJOO)",혼성,그룹
샘김 (Sam Kim),미국,"발라드, 국내드라마, R&B/Soul",2016.04.10,,남성,솔로
츄 (CHUU),대한민국,"댄스, 발라드, 국내드라마",2023.10.18,,여성,솔로
웬디 (WENDY),대한민국,"발라드, 국내드라마, R&B/Soul",2021.04.05,,여성,솔로
펀치 (Punch),대한민국,"발라드, 국내드라마, R&B/Soul",2017.09.29,,여성,솔로
박재범,미국,"랩/힙합, R&B/Soul, 댄스",2011.04.27,,남성,솔로
김세정,대한민국,"발라드, 국내드라마, 록/메탈",2016.11.23,,여성,솔로
송이한,대한민국,"R&B/Soul, 발라드, 국내드라마",2018.06.03,,남성,솔로
TOIL,대한민국,"랩/힙합, 록/메탈, R&B/Soul",2020.10.26,,남성,솔로
스윙스,대한민국,"랩/힙합, 국내드라마, 발라드",2008.05.14,,남성,솔로
이루,대한민국,"발라드, 국내드라마, 댄스",2005.09.05,,남성,솔로
숀 (SHAUN),대한민국,"일렉트로니카, 인디음악, 록/메탈",2015.09.17,,남성,솔로
경서,대한민국,"발라드, 국내드라마, 록/메탈",2020.11.14,,여성,솔로
GRAY (그레이),대한민국,"국내영화, 랩/힙합, R&B/Soul",2012.05.16,,남성,솔로
백예린 (Yerin Baek),대한민국,"R&B/Soul, 발라드, 국내드라마",2015.11.30,,여성,솔로
정효빈,대한민국,"발라드, 국내드라마, 인디음악",2019.04.16,,여성,솔로
아넌딜라이트(Anandelight),대한민국,"랩/힙합, 인디음악, R&B/Soul",2019.01.30,,남성,솔로
선우정아,대한민국,"발라드, R&B/Soul, 국내드라마",2006.05.10,,여성,솔로
로시 (Rothy),대한민국,"국내드라마, 발라드, R&B/Soul",2017.11.09,,여성,솔로
NCT U,대한민국,"댄스, R&B/Soul, 랩/힙합",2016.04.09,"재현 (JAEHYUN) , 텐 (TEN) , 태용 (TAEYONG) , 도영 (DOYOUNG) , 정우 (JUNGWOO) , 윈윈 (WINWIN) , 해찬 (HAECHAN) , 유타 (YUTA) , 천러 (CHENLE) , 재민 (JAEMIN) , 제노 (JENO) , 지성 (JISUNG) , 런쥔 (RENJUN) , 쟈니 (JOHNNY) , 쿤 (KUN) , 샤오쥔 (XIAOJUN) , 헨드리 (HENDERY) , 양양 (YANGYANG)",남성,그룹
래원 (Layone),대한민국,"랩/힙합, 국내드라마, 발라드",2019.09.06,,남성,솔로
백아연,대한민국,"발라드, 국내드라마, 댄스",2012.09.10,,여성,솔로
릴러말즈 (Leellamarz),대한민국,"랩/힙합, R&B/Soul, 클래식",2017.07.07,,남성,솔로
WSG워너비 (오아시소),대한민국,댄스,2022.07.09,"윤은혜 , 코타(KOTA) , 박진주 , 조현아 (어반자카파)",여성,그룹
그루비룸 (GroovyRoom),대한민국,"랩/힙합, 일렉트로니카, R&B/Soul",2016.12.14,"Lil Moshpit , IÖN",남성,그룹
Woodie Gochild,대한민국,"랩/힙합, 애니메이션/웹툰, R&B/Soul",2017.12.15,,남성,솔로
선미,대한민국,"댄스, 발라드, 록/메탈",2013.08.26,,여성,솔로
유연석,대한민국,"발라드, 국내드라마, 국내뮤지컬",2013.12.13,,남성,솔로
이승기,대한민국,"발라드, 록/메탈, 댄스",2004.06.25,,남성,솔로
유산슬,대한민국,성인가요/트로트,2019.11.16,,남성,솔로
김필,대한민국,"발라드, 록/메탈, 국내드라마",2011.08.30,,남성,솔로
sokodomo,대한민국,"랩/힙합, 일렉트로니카, R&B/Soul",2019.08.21,,남성,솔로
임한별,대한민국,"발라드, 국내드라마, R&B/Soul",2008.04,,남성,솔로
경서 (경서예지),대한민국,발라드,2023.06.25,,여성,솔로
SF9,대한민국,"댄스, 발라드, R&B/Soul",2016.10.05,"영빈 , 인성 , 재윤 (SF9) , 다원 , 주호 , 유태양 , 휘영 , 찬희 (SF9)",남성,그룹
다이나믹 듀오,대한민국,"랩/힙합, 댄스, 발라드",2004.05.17,"개코 , 최자",남성,그룹
이승철,대한민국,"발라드, 댄스, 록/메탈",1988.12.01,,남성,솔로
현아,대한민국,"댄스, 발라드, 랩/힙합",2010.01.04,,여성,솔로
이선희,대한민국,"발라드, POP, 키즈",1984.08.25,,여성,솔로
WSG워너비,대한민국,발라드,2022.05.28,"이보람 (씨야) , 정소연 (Jung Soyeon) , HYNN (박혜원) , 정지소",여성,그룹
문별 (마마무),대한민국,"댄스, R&B/Soul, 발라드",2018.05.23,,여성,솔로
육성재,대한민국,"발라드, 국내드라마, 록/메탈",2020.03.02,,남성,솔로
박경,대한민국,"랩/힙합, 국내드라마, R&B/Soul",2015.09.21,,남성,솔로
한요한,대한민국,"랩/힙합, 록/메탈, 발라드",2015.05.21,,남성,솔로
피아노맨,대한민국,"발라드, 인디음악, R&B/Soul",2016.02.22,,남성,솔로
전상근,대한민국,"발라드, 국내드라마, 록/메탈",2016.06.03,,남성,솔로
산들,대한민국,"발라드, 국내드라마, 록/메탈",2011.04.23,,남성,솔로
도영 (DOYOUNG),대한민국,"발라드, 국내드라마, 록/메탈",2024.04.22,,남성,솔로
Don Mills,대한민국,"랩/힙합, 댄스, 국내드라마",2013.05.01,,남성,솔로
조장혁,대한민국,"발라드, 록/메탈, 댄스",1996.01,,남성,솔로
반하나,대한민국,"발라드, 국내드라마, R&B/Soul",2014,,여성,솔로
가호 (Gaho),대한민국,"R&B/Soul, 국내드라마, 발라드",2018.05.03,,남성,솔로
박진영,대한민국,"댄스, 발라드, R&B/Soul",1994.09.01,,남성,솔로
비,대한민국,"댄스, 발라드, R&B/Soul",2002.05.13,,남성,솔로
브레이브걸스,대한민국,"댄스, 발라드, 랩/힙합",2011.04.08,"민영 (BBGIRLS) , 유정 (BBGIRLS) , 은지 (BBGIRLS) , 유나 (BBGIRLS)",여성,그룹
김나영,대한민국,"발라드, 국내드라마, 랩/힙합",2014.12.09,,여성,솔로
장덕철,대한민국,"발라드, 국내드라마, 댄스",2015.01.13,"임철 , 덕인 , 장중혁",남성,그룹
KHAN,대한민국,"랩/힙합, 인디음악",2020.05.06,,남성,솔로
저스디스 (JUSTHIS),대한민국,"랩/힙합, 국내드라마, 발라드",2015.06.12,,남성,솔로
머쉬베놈 (MUSHVENOM),대한민국,"랩/힙합, 인디음악",2019.09.05,,남성,솔로
탑현,대한민국,"발라드, 인디음악, 록/메탈",2020.09.25,,남성,솔로
솔라 (마마무),대한민국,"발라드, 국내드라마, 댄스",2020.04.23,,여성,솔로
전미도,대한민국,"국내드라마, 발라드, 록/메탈",2006,,여성,솔로
싸이 (PSY),대한민국,"랩/힙합, 댄스, 발라드",2001.01.18,,남성,솔로
CHEEZE (치즈),대한민국,"발라드, 국내드라마, 인디음악",2011.12.16,달총 (CHEEZE),여성,솔로
Agust D,대한민국,"랩/힙합, POP, 댄스",2016,,남성,솔로
제이레빗(J Rabbit),대한민국,"인디음악, 포크/블루스, 발라드",2010.11.27,"정다운 , J HYESUN",여성,그룹
코드 쿤스트 (CODE KUNST),대한민국,"랩/힙합, 인디음악, R&B/Soul",2013.05.16,,남성,솔로
김호중,대한민국,"성인가요/트로트, 발라드, 클래식",2013.03.22,,남성,솔로
Stray Kids (스트레이 키즈),대한민국,"랩/힙합, 댄스, 록/메탈",2018.03.25,"방찬 (Stray Kids) , 리노 (Stray Kids) , 창빈 (Stray Kids) , 현진 (Stray Kids) , 한 (Stray Kids) , 필릭스 (Stray Kids) , 승민 (Stray Kids) , 아이엔 (Stray Kids)",남성,그룹
pH-1,대한민국,"랩/힙합, 국내드라마, 댄스",2016.10.21,,남성,솔로
첸 (CHEN),대한민국,"발라드, 국내드라마, 댄스",2019.04.01,,남성,솔로
백지영,대한민국,"발라드, 댄스, 국내드라마",1999.06.01,,여성,솔로
이수현,대한민국,"댄스, 포크/블루스, 록/메탈",2014.04.07,"이찬혁 , 이수현",혼성,그룹
B.I,대한민국,"랩/힙합, R&B/Soul, 댄스",2021.06.01,,남성,솔로
수호 (SUHO),대한민국,"록/메탈, 발라드, 국내드라마",2020.03.30,,남성,솔로
린다G,대한민국,랩/힙합,2020,,여성,솔로
쿠기 (Coogie),대한민국,"랩/힙합, 국내드라마, 인디음악",2018.03.17,,남성,솔로
기리보이,대한민국,"랩/힙합, 발라드, 일렉트로니카",2011.11.18,,남성,솔로
MSG워너비(정상동기),대한민국,발라드,2021,"김정수 , 정기석 , 이동휘 , 이상이",남성,그룹
에픽하이 (EPIK HIGH),대한민국,"랩/힙합, 댄스, 국내드라마",2003.10.23,"TABLO , 미쓰라 진 , DJ 투컷",남성,그룹
소유 (SOYOU),대한민국,"발라드, 국내드라마, R&B/Soul",2017.12.13,,여성,솔로
미란이 (MIRANI),대한민국,"랩/힙합, R&B/Soul, 국내드라마",2020.04.24,,여성,솔로
YUNB,대한민국,"랩/힙합, R&B/Soul, 일렉트로니카",2016.09.19,,남성,솔로
이채연,대한민국,"댄스, 국내드라마, 발라드",2022.10.12,,여성,솔로
dori,대한민국,"R&B/Soul, 국내드라마, 발라드",2022.02.01,,남성,솔로
VIVIZ (비비지),대한민국,"댄스, R&B/Soul, 국내드라마",2022.02.09,"은하 (EUNHA) , 신비 (SINB) , 엄지 (UMJI)",여성,그룹
빈지노 (Beenzino),대한민국,"랩/힙합, 댄스, 국내드라마",2012.07.03,,남성,솔로
벤,대한민국,"발라드, 국내드라마, R&B/Soul",2012.09.18,,여성,솔로
이세계아이돌,대한민국,"댄스, 발라드, 록/메탈",2021.12.17,"주르르 , 아이네 , 징버거 , 릴파 , 고세구 , 비챤",여성,그룹
SINCE,대한민국,"랩/힙합, 인디음악, 게임",2020.02.21,,여성,솔로
원슈타인,대한민국,"랩/힙합, R&B/Soul, 국내드라마",2018.12.11,,남성,솔로
백현 (BAEKHYUN),대한민국,"R&B/Soul, 발라드, 국내드라마",2019.07.10,,남성,솔로
진민호,대한민국,"발라드, 국내드라마, 인디음악",2016.10.20,,남성,솔로
스탠딩 에그,대한민국,"인디음악, 포크/블루스, 발라드",2010.04.21,"Egg1 , Egg2 , Egg3",남성,그룹
펀치넬로 (punchnello),대한민국,"랩/힙합, 국내드라마, R&B/Soul",2016.09.08,,남성,솔로
DAY6 (Even of Day),대한민국,"록/메탈, 국내드라마, 발라드",2020.08.31,"Young K (DAY6) , 원필 (DAY6) , 도운 (DAY6)",남성,그룹
"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)'",대한민국,"발라드, 댄스",2021.06.26,"별루지 , 김정수 , 강창모 , 정기석 , 이동휘 , 이상이 , 박재정 , 원슈타인",남성,그룹
우효,대한민국,"인디음악, 일렉트로니카, 록/메탈",2014.05.15,,여성,솔로
유두래곤,대한민국,댄스,2020.08.01,,남성,솔로
에스파파(S.Papa.),대한민국,"발라드, 댄스",2004.12.08,,남성,솔로
