연도,수상부문,수상자,_merge,정답여부
2025,올해의 신인,ALLDAY PROJECT,both,True
2025,베스트 솔로 여자,아이유,left_only,False
2025,베스트 그룹 여자,IVE (아이브),both,True
2025,베스트 솔로 남자,G-DRAGON,both,True
2025,베스트 그룹 남자,BOYNEXTDOOR,both,True
2025,TOP10,G-DRAGON,both,True
2025,TOP10,BOYNEXTDOOR,both,True
2025,TOP10,임영웅,both,True
2025,TOP10,IVE (아이브),both,True
2025,TOP10,아이유,left_only,False
2025,TOP10,로제 (ROSÉ),both,True
2025,TOP10,ALLDAY PROJECT,left_only,False
2025,TOP10,제니 (JENNIE),both,True
2025,TOP10,PLAVE,both,True
2025,TOP10,10CM,left_only,False
2025,밀리언스 TOP10,Übermensch,both,True
2025,밀리언스 TOP10,IVE EMPATHY,both,True
2025,밀리언스 TOP10,"HOME SWEET HOME (feat. 태양, 대성)",left_only,False
2025,밀리언스 TOP10,IM HERO,left_only,False
2025,밀리언스 TOP10,꽃갈피 셋,both,True
2025,밀리언스 TOP10,FAMOUS,left_only,False
2025,밀리언스 TOP10,Caligo Pt.1,both,True
2025,밀리언스 TOP10,너에게 닿기를,left_only,False
2025,밀리언스 TOP10,rosie,both,True
2025,밀리언스 TOP10,오늘만 I LOVE YOU,left_only,False
