주차,순위,곡명,아티스트,앨범,좋아요,이미지URL
12.30~01.05,15,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,191576,https://cdnimg.melon.co.kr/cm2/album/images/114/59/325/11459325_20240405171054_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,16,Supernova,aespa,Armageddon - The 1st Album,186521,https://cdnimg.melon.co.kr/cm2/album/images/114/87/023/11487023_20240527154018_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,17,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),141834,https://cdnimg.melon.co.kr/cm2/album/images/114/21/941/11421941_20240220105008_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,18,슬픈 초대장,순순희(지환),슬픈 초대장,76933,https://cdnimg.melon.co.kr/cm2/album/images/113/86/568/11386568_20231218192452_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,19,Mantra,제니 (JENNIE),Mantra,79602,https://cdnimg.melon.co.kr/cm2/album/images/116/12/674/11612674_20241010154851_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,20,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',322817,https://cdnimg.melon.co.kr/cm/album/images/022/19/671/2219671_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,21,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,491248,https://cdnimg.melon.co.kr/cm2/album/images/103/31/947/10331947_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,22,고민중독,QWER,1st Mini Album 'MANITO',154029,https://cdnimg.melon.co.kr/cm2/album/images/114/54/681/11454681_20240328174504_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,23,Love wins all,아이유,The Winning,219143,https://cdnimg.melon.co.kr/cm2/album/images/114/04/142/11404142_20240220141548_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,24,예뻤어,DAY6 (데이식스),Every DAY6 February,378002,https://cdnimg.melon.co.kr/cm/album/images/100/36/099/10036099_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,25,How Sweet,NewJeans,How Sweet,155689,https://cdnimg.melon.co.kr/cm2/album/images/114/75/749/11475749_20240524105642_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,26,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,169097,https://cdnimg.melon.co.kr/cm2/album/images/113/91/902/11391902_20250922111638_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,27,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,316438,https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,28,나는 아픈 건 딱 질색이니까,i-dle (아이들),2,174320,https://cdnimg.melon.co.kr/cm2/album/images/114/02/655/11402655_20240129121016_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,29,Supersonic,프로미스나인,Supersonic,89959,https://cdnimg.melon.co.kr/cm2/album/images/115/64/698/11564698_20240812100922_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,30,Small girl (feat. 도경수(D.O.)),이영지,16 Fantasy,168797,https://cdnimg.melon.co.kr/cm2/album/images/115/17/951/11517951_20240620173412_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,31,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),166025,https://cdnimg.melon.co.kr/cm2/album/images/113/05/759/11305759_20230814111006_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,32,DRIP,BABYMONSTER,DRIP,70799,https://cdnimg.melon.co.kr/cm2/album/images/116/29/208/11629208_20241101103249_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,33,number one girl,로제 (ROSÉ),number one girl,66412,https://cdnimg.melon.co.kr/cm2/album/images/116/48/244/11648244_20241122102042_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,34,에피소드,이무진,에피소드,137862,https://cdnimg.melon.co.kr/cm2/album/images/113/82/987/11382987_20231212165916_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,35,비의 랩소디,임재현,비의 랩소디,107660,https://cdnimg.melon.co.kr/cm2/album/images/113/76/816/11376816_20231201120653_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,36,Magnetic,아일릿(ILLIT),SUPER REAL ME,141917,https://cdnimg.melon.co.kr/cm2/album/images/114/50/069/11450069_20240325110702_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,37,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,235539,https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,38,미안해 미워해 사랑해,Crush,눈물의 여왕 OST Part.4,113104,https://cdnimg.melon.co.kr/cm2/album/images/114/49/278/11449278_20240322170237_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,39,Igloo,KISS OF LIFE,Lose Yourself,49060,https://cdnimg.melon.co.kr/cm2/album/images/116/07/747/11607747_20241015110919_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,40,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),168609,https://cdnimg.melon.co.kr/cm2/album/images/108/01/677/10801677_20211202181813_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,41,Ditto,NewJeans,NewJeans 'OMG',309854,https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20231213133532_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,42,헤어지자 말해요,박재정,1집 Alone,191729,https://cdnimg.melon.co.kr/cm2/album/images/112/27/533/11227533_20230419162238_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,43,녹아내려요,DAY6 (데이식스),Band Aid,101941,https://cdnimg.melon.co.kr/cm2/album/images/115/80/616/11580616_20240830171855_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,44,청춘만화,이무진,만화 (滿花),93024,https://cdnimg.melon.co.kr/cm2/album/images/116/08/521/11608521_20241004161722_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,45,인사,범진,인사,158701,https://cdnimg.melon.co.kr/cm2/album/images/108/21/699/10821699_20231205103724_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,46,Armageddon,aespa,Armageddon - The 1st Album,96744,https://cdnimg.melon.co.kr/cm2/album/images/114/87/023/11487023_20240527154018_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,47,클락션 (Klaxon),i-dle (아이들),I SWAY,67624,https://cdnimg.melon.co.kr/cm2/album/images/115/33/515/11533515_20240708112323_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,48,주저하는 연인들을 위해,잔나비,전설,451644,https://cdnimg.melon.co.kr/cm/album/images/102/60/858/10260858_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,49,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,438614,https://cdnimg.melon.co.kr/cm/album/images/101/49/492/10149492_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,50,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),220737,https://cdnimg.melon.co.kr/cm2/album/images/106/10/525/10610525_20210518143433_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,51,I AM,IVE (아이브),I've IVE,235287,https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,52,Sticky,KISS OF LIFE,Sticky,94715,https://cdnimg.melon.co.kr/cm2/album/images/115/25/661/11525661_20240628155508_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,53,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',313711,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,54,WAY 4 LUV,PLAVE,ASTERUM : 134-1,82534,https://cdnimg.melon.co.kr/cm2/album/images/114/27/101/11427101_20240223153059_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,55,살기 위해서,순순희,살기 위해서,32944,https://cdnimg.melon.co.kr/cm2/album/images/109/29/042/10929042_20220422022623_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,56,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어,68281,https://cdnimg.melon.co.kr/cm2/album/images/114/55/285/11455285_20240401151801_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,57,해야 (HEYA),IVE (아이브),IVE SWITCH,93752,https://cdnimg.melon.co.kr/cm2/album/images/114/75/530/11475530_20240430093854_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,58,SPOT! (feat. JENNIE),지코 (ZICO),SPOT!,129278,https://cdnimg.melon.co.kr/cm2/album/images/114/74/894/11474894_20240426103349_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,59,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),233054,https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,60,"무제(無題) (Untitled, 2014)",G-DRAGON,권지용,324512,https://cdnimg.melon.co.kr/cm/album/images/100/69/644/10069644_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,61,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,178216,https://cdnimg.melon.co.kr/cm2/album/images/113/72/896/11372896_20231127104957_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,62,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',341101,https://cdnimg.melon.co.kr/cm2/album/images/109/03/868/10903868_20220330103544_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,63,취중고백,김민석 (멜로망스),취중고백,203996,https://cdnimg.melon.co.kr/cm2/album/images/108/16/959/10816959_20211217144957_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,64,Congratulations,DAY6 (데이식스),The Day,177440,https://cdnimg.melon.co.kr/cm/album/images/026/38/778/2638778_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,65,Love 119,RIIZE,Love 119,134807,https://cdnimg.melon.co.kr/cm2/album/images/113/94/065/11394065_20240104151541_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,66,Pump Up The Volume!,PLAVE,Pump Up The Volume!,71131,https://cdnimg.melon.co.kr/cm2/album/images/115/70/634/11570634_20240820095436_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,67,Bubble Gum,NewJeans,How Sweet,120726,https://cdnimg.melon.co.kr/cm2/album/images/114/75/749/11475749_20240524105642_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,68,우리들의 블루스,임영웅,IM HERO,124322,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,69,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,113905,https://cdnimg.melon.co.kr/cm2/album/images/112/85/867/11285867_20230713162404_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,70,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,228033,https://cdnimg.melon.co.kr/cm2/album/images/112/86/070/11286070_20230713181059_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,71,네모네모,YENA (최예나),네모네모,45435,https://cdnimg.melon.co.kr/cm2/album/images/116/03/345/11603345_20240927114551_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,72,Drama,aespa,Drama - The 4th Mini Album,111658,https://cdnimg.melon.co.kr/cm2/album/images/113/62/544/11362544_20231110142622_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,73,Cherish (My Love),아일릿(ILLIT),I’LL LIKE YOU,44232,https://cdnimg.melon.co.kr/cm2/album/images/116/20/616/11620616_20241021095654_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,74,Boom Boom Bass,RIIZE,RIIZING - The 1st Mini Album,87299,https://cdnimg.melon.co.kr/cm2/album/images/114/56/179/11456179_20240617152303_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,75,온기,임영웅,온기,50690,https://cdnimg.melon.co.kr/cm2/album/images/114/81/211/11481211_20240503151321_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,76,우리 영화,PLAVE,ASTERUM : 134-1,63695,https://cdnimg.melon.co.kr/cm2/album/images/114/27/101/11427101_20240223153059_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,77,봄날,방탄소년단,YOU NEVER WALK ALONE,509390,https://cdnimg.melon.co.kr/cm/album/images/100/37/969/10037969_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,78,모래 알갱이,임영웅,모래 알갱이,73980,https://cdnimg.melon.co.kr/cm2/album/images/112/58/233/11258233_20230605094802_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,79,Dynamite,방탄소년단,Dynamite (DayTime Version),467019,https://cdnimg.melon.co.kr/cm2/album/images/104/79/150/10479150_20200918102847_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,80,다시 만날 수 있을까,임영웅,IM HERO,102308,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,81,From,PLAVE,ASTERUM : 134-1,52472,https://cdnimg.melon.co.kr/cm2/album/images/114/27/101/11427101_20240223153059_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,82,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,183582,https://cdnimg.melon.co.kr/cm2/album/images/104/12/319/10412319_20200403103006_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,83,Home,임영웅,온기,52023,https://cdnimg.melon.co.kr/cm2/album/images/114/81/211/11481211_20240503151321_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,84,HERO (From the Film “소방관”),박효신,HERO (From the Film “소방관”),25181,https://cdnimg.melon.co.kr/cm2/album/images/116/65/940/11665940_20241216103331_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,85,가까운 듯 먼 그대여,카더가든,가까운 듯 먼 그대여,142995,https://cdnimg.melon.co.kr/cm2/album/images/106/92/255/10692255_20210825184324_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,86,크리스마스니까,성시경,Jelly Christmas 2012 HEART PROJECT,166043,https://cdnimg.melon.co.kr/cm/album/images/021/68/409/2168409_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,87,무지개,임영웅,IM HERO,87133,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,88,Watch Me Woo!,PLAVE,ASTERUM : 134-1,51660,https://cdnimg.melon.co.kr/cm2/album/images/114/27/101/11427101_20240223153059_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,89,Do or Die,임영웅,Do or Die,54278,https://cdnimg.melon.co.kr/cm2/album/images/113/40/391/11340391_20231006154621_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,90,London Boy,임영웅,Polaroid,72250,https://cdnimg.melon.co.kr/cm2/album/images/111/02/375/11102375_20221115101140_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,91,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,181108,https://cdnimg.melon.co.kr/cm/album/images/010/93/562/1093562_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,92,눈사람,정승환,그리고 봄,303979,https://cdnimg.melon.co.kr/cm/album/images/101/36/251/10136251_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,93,Polaroid,임영웅,Polaroid,62840,https://cdnimg.melon.co.kr/cm2/album/images/111/02/375/11102375_20221115101140_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,94,인생찬가,임영웅,IM HERO,64660,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,95,버추얼 아이돌,PLAVE,ASTERUM : 134-1,48135,https://cdnimg.melon.co.kr/cm2/album/images/114/27/101/11427101_20240223153059_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,96,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life),356731,https://cdnimg.melon.co.kr/cm2/album/images/109/08/834/10908834_20220404174407_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,97,ETA,NewJeans,NewJeans 2nd EP 'Get Up',147529,https://cdnimg.melon.co.kr/cm2/album/images/112/81/456/11281456_20230706180841_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,98,Merry PLLIstmas,PLAVE,ASTERUM : 134-1,44874,https://cdnimg.melon.co.kr/cm2/album/images/114/27/101/11427101_20240223153059_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,99,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',213214,https://cdnimg.melon.co.kr/cm2/album/images/111/66/539/11166539_20230207143921_500.jpg/melon/resize/48/quality/80/optimize
12.30~01.05,100,연애편지,임영웅,IM HERO,58358,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,1,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)",227316,https://cdnimg.melon.co.kr/cm2/album/images/116/47/670/11647670_20241121150855_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,2,APT.,로제 (ROSÉ),APT.,219300,https://cdnimg.melon.co.kr/cm2/album/images/116/19/809/11619809_20241018103507_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,3,Whiplash,aespa,Whiplash - The 5th Mini Album,150117,https://cdnimg.melon.co.kr/cm2/album/images/116/20/540/11620540_20241018183208_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,4,나는 반딧불,황가람,나는 반딧불,156138,https://cdnimg.melon.co.kr/cm2/album/images/116/20/541/11620541_20241018183253_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,5,toxic till the end,로제 (ROSÉ),rosie,140835,https://cdnimg.melon.co.kr/cm2/album/images/116/59/696/11659696_20241205141243_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,6,HAPPY,DAY6 (데이식스),Fourever,208286,https://cdnimg.melon.co.kr/cm2/album/images/114/44/397/11444397_20240318115810_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,7,PO￦ER,G-DRAGON,PO￦ER,163519,https://cdnimg.melon.co.kr/cm2/album/images/116/30/124/11630124_20241031100530_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,8,너와의 모든 지금,재쓰비 (JAESSBEE),너와의 모든 지금,99107,https://cdnimg.melon.co.kr/cm2/album/images/116/37/218/11637218_20241108150236_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,9,Drowning,WOODZ,OO-LI,279259,https://cdnimg.melon.co.kr/cm2/album/images/111/83/506/11183506_20230426141236_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,10,내게 사랑이 뭐냐고 물어본다면,로이킴,내게 사랑이 뭐냐고 물어본다면,90376,https://cdnimg.melon.co.kr/cm2/album/images/116/16/312/11616312_20241015135802_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,11,UP (KARINA Solo),aespa,SYNK : PARALLEL LINE - Special Digital Single,117298,https://cdnimg.melon.co.kr/cm2/album/images/116/10/170/11610170_20241008143002_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,12,내 이름 맑음,QWER,2nd Mini Album 'Algorithm's Blossom',105168,https://cdnimg.melon.co.kr/cm2/album/images/115/80/909/11580909_20240923131754_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,13,Welcome to the Show,DAY6 (데이식스),Fourever,193239,https://cdnimg.melon.co.kr/cm2/album/images/114/44/397/11444397_20240318115810_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,14,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,191576,https://cdnimg.melon.co.kr/cm2/album/images/114/59/325/11459325_20240405171054_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,15,Supernova,aespa,Armageddon - The 1st Album,186521,https://cdnimg.melon.co.kr/cm2/album/images/114/87/023/11487023_20240527154018_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,16,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,363964,https://cdnimg.melon.co.kr/cm/album/images/103/07/346/10307346_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,17,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),141834,https://cdnimg.melon.co.kr/cm2/album/images/114/21/941/11421941_20240220105008_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,18,슬픈 초대장,순순희(지환),슬픈 초대장,76933,https://cdnimg.melon.co.kr/cm2/album/images/113/86/568/11386568_20231218192452_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,19,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,491248,https://cdnimg.melon.co.kr/cm2/album/images/103/31/947/10331947_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,20,Mantra,제니 (JENNIE),Mantra,79602,https://cdnimg.melon.co.kr/cm2/album/images/116/12/674/11612674_20241010154851_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,21,고민중독,QWER,1st Mini Album 'MANITO',154029,https://cdnimg.melon.co.kr/cm2/album/images/114/54/681/11454681_20240328174504_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,22,Love wins all,아이유,The Winning,219143,https://cdnimg.melon.co.kr/cm2/album/images/114/04/142/11404142_20240220141548_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,23,예뻤어,DAY6 (데이식스),Every DAY6 February,378002,https://cdnimg.melon.co.kr/cm/album/images/100/36/099/10036099_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,24,DRIP,BABYMONSTER,DRIP,70799,https://cdnimg.melon.co.kr/cm2/album/images/116/29/208/11629208_20241101103249_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,25,How Sweet,NewJeans,How Sweet,155689,https://cdnimg.melon.co.kr/cm2/album/images/114/75/749/11475749_20240524105642_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,26,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',322817,https://cdnimg.melon.co.kr/cm/album/images/022/19/671/2219671_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,27,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,316438,https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,28,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,169097,https://cdnimg.melon.co.kr/cm2/album/images/113/91/902/11391902_20250922111638_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,29,나는 아픈 건 딱 질색이니까,i-dle (아이들),2,174320,https://cdnimg.melon.co.kr/cm2/album/images/114/02/655/11402655_20240129121016_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,30,Supersonic,프로미스나인,Supersonic,89959,https://cdnimg.melon.co.kr/cm2/album/images/115/64/698/11564698_20240812100922_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,31,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),166025,https://cdnimg.melon.co.kr/cm2/album/images/113/05/759/11305759_20230814111006_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,32,오늘만 I LOVE YOU,BOYNEXTDOOR,오늘만 I LOVE YOU,180035,https://cdnimg.melon.co.kr/cm2/album/images/116/85/070/11685070_20250106111631_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,33,Small girl (feat. 도경수(D.O.)),이영지,16 Fantasy,168797,https://cdnimg.melon.co.kr/cm2/album/images/115/17/951/11517951_20240620173412_500.jpg/melon/resize/48/quality/80/optimize
01.06~01.12,34,비의 랩소디,임재현,비의 랩소디,107660,https://cdnimg.melon.co.kr/cm2/album/images/113/76/816/11376816_20231201120653_500.jpg/melon/resize/48/quality/80/optimize
